# z phi vxP vxF T
0.000000000000000000e+00 5.324443172577368877e-01 4.652136401359002196e-08 2.697372321623086114e-02 1.960008999579711008e-09
2.002188183807439769e-04 5.382839001582969685e-01 9.586661912157220542e-08 3.935774978081499342e-02 4.266755531138995857e-09
4.004376367614879539e-04 5.444393581293919260e-01 1.726353922071089288e-07 4.466526418450185443e-02 7.824530466166800675e-09
6.006564551422319308e-04 5.494582507690287665e-01 2.771516587185287807e-07 4.379598042519659146e-02 1.247475538061213944e-08
8.008752735229759077e-04 5.529765726599028541e-01 3.988815525142741488e-07 3.793787039760813939e-02 1.796765909747442040e-08
1.001094091903719993e-03 5.556115518171828027e-01 5.376975649818004502e-07 2.868837798342341316e-02 2.431196998566077110e-08
1.201312910284463862e-03 5.568965239421741487e-01 6.928800597564073538e-07 1.799781831902829213e-02 3.159039240506904848e-08
1.401531728665207730e-03 5.579792766571062268e-01 8.631379346779987429e-07 8.182005184203155340e-03 3.985312354312728229e-08
1.601750547045951815e-03 5.591093552713563009e-01 1.044193786807415103e-06 1.554763472068098175e-03 4.893512385652193041e-08
1.801969365426695901e-03 5.599616501885642528e-01 1.239293067276142995e-06 6.314969444751940167e-05 5.891407055306061044e-08
2.002188183807439986e-03 5.606510770554912204e-01 1.434520979426318844e-06 4.468562945135195889e-05 6.949585844462371754e-08
2.202407002188183638e-03 5.616228247742589552e-01 1.638547227220301587e-06 4.228355421796688363e-05 8.072937673287676372e-08
2.402625820568927723e-03 5.628577870415486517e-01 1.859685924998020312e-06 4.251852916143914911e-05 9.254569731786204364e-08
2.602844638949671809e-03 5.645247788568251712e-01 2.086804407958456396e-06 4.865651461644525855e-05 1.049749761160186100e-07
2.803063457330415460e-03 5.668129706524382971e-01 2.322499286958329638e-06 1.945844333687327512e-03 1.180225795543831886e-07
3.003282275711159546e-03 5.688356136358990733e-01 2.564733416177227954e-06 8.649437959444743543e-03 1.314569886651649083e-07
3.203501094091903631e-03 5.711091934799265024e-01 2.818499489525840534e-06 1.785246765304357788e-02 1.451968469065691961e-07
3.403719912472647716e-03 5.742914343832865587e-01 3.078398640894878636e-06 2.697051814252690929e-02 1.592572618294825587e-07
3.603938730853391802e-03 5.781473471466547220e-01 3.332986402300067894e-06 3.371717418869875360e-02 1.734391970823106868e-07
3.804157549234135453e-03 5.823900873729696004e-01 3.572492152515869330e-06 3.641454966521182751e-02 1.874505812490559472e-07
4.004376367614879972e-03 5.869216610202157014e-01 3.800643017024199053e-06 3.438928041172404498e-02 2.013350797299968081e-07
4.204595185995623624e-03 5.911060110594942296e-01 4.020883643216507521e-06 2.811769607170947621e-02 2.150013157540163271e-07
4.404814004376367276e-03 5.947353745225528732e-01 4.234594520849304373e-06 1.919171066605710255e-02 2.282836855637456137e-07
4.605032822757111795e-03 5.970265926162977577e-01 4.443269017786278699e-06 9.976708281215860424e-03 2.413594419190103354e-07
4.805251641137855446e-03 5.981700643977467813e-01 4.646784044417798427e-06 3.160069673544960850e-03 2.541506768052997926e-07
5.005470459518599098e-03 5.988426435057271346e-01 4.838641052584466266e-06 3.647682053387280238e-04 2.663426163069456303e-07
5.205689277899343617e-03 5.996758017753511805e-01 5.012200036304383593e-06 9.753631833644004921e-05 2.777437237286195972e-07
5.405908096280087269e-03 6.006522734605259650e-01 5.167767673607553692e-06 7.906800122109971455e-05 2.887358989040239439e-07
5.606126914660830921e-03 6.017497070691455452e-01 5.305739899604304512e-06 7.436928082572964672e-05 2.993535143167535084e-07
5.806345733041575440e-03 6.046803176283011005e-01 5.429873513107943597e-06 7.316641018389792594e-05 3.090573996860212789e-07
6.006564551422319091e-03 6.088762059228919332e-01 5.531977264655131111e-06 1.485652406508511597e-04 3.177505416251011567e-07
6.206783369803063610e-03 6.121747082293147457e-01 5.631052467382585953e-06 1.493405378235849925e-03 3.265286713409963496e-07
6.407002188183807262e-03 6.145919645307844625e-01 5.733385046916233202e-06 5.958909624978955821e-03 3.354426097401689736e-07
6.607221006564550914e-03 6.160287386239635676e-01 5.845950536966777729e-06 1.334134746849338117e-02 3.444304152388698468e-07
6.807439824945295433e-03 6.164421546636680294e-01 5.958969534917734635e-06 2.110840771378768438e-02 3.536924480659877565e-07
7.007658643326039084e-03 6.159722992591818436e-01 6.068642980819315767e-06 2.680472250619879079e-02 3.631365495205527100e-07
