#zPhiExp   phiExp
-0.008997 0.550000 
-0.007492 0.550000 
-0.005986 0.550000 
-0.004480 0.550000 
-0.002974 0.550000 
-0.001467 0.549829 
0.000040 0.549329 
0.001548 0.548006 
0.003056 0.545670 
0.004565 0.540761 
0.006074 0.522900 
0.007584 0.483104 
0.009094 0.417208 
0.010605 0.332618 
0.012116 0.243685 
0.013627 0.170952 
0.015140 0.112351 
0.016653 0.074880 
0.018166 0.053494 
0.019680 0.040655 
0.021195 0.031243 
0.022710 0.025217 
0.024226 0.020978 
0.025743 0.017526 
0.027260 0.014288 
0.028778 0.012230 
0.030297 0.010403 
0.031816 0.009166 
0.033337 0.008194 
0.034858 0.007279 
0.036380 0.006507 
0.037902 0.005731 
0.039426 0.005086 
0.040950 0.004607 
0.042476 0.004222 
0.044002 0.003885 
0.045530 0.003565 
0.047058 0.003209 
0.048588 0.002822 
0.050118 0.002600 
0.051650 0.002411 
0.053183 0.002264 
0.054717 0.002141 
0.056252 0.001926 
0.057789 0.001787 
0.059327 0.001650 
0.060866 0.001557 
0.062407 0.001511 
0.063949 0.001397 
0.065493 0.001270 
0.067038 0.001185 
0.068585 0.001093 
0.070134 0.001045 
0.071684 0.001007 
0.073237 0.000963 
0.074791 0.000935 
0.076347 0.000913 
0.077906 0.000843 
0.079466 0.000800 
0.081029 0.000789 
0.082595 0.000753 
0.084162 0.000747 
0.085733 0.000000 
0.087306 0.000000 
0.088881 0.000000 
0.090460 0.000000 
0.092042 0.000000 
0.093627 0.000000 
0.095216 0.000000 
0.096808 0.000000 
0.098404 0.000000 
0.100003 0.000000 
0.101607 0.000000 
0.103216 0.000000 
0.104828 0.000000 
0.106446 0.000000 
0.108069 0.000000 
0.109697 0.000000 
