#zExp  uExp	RxzExp	
-0.009039 0.000000 -0.000000 
-0.006034 0.000000 -0.000000 
-0.003028 0.000000 -0.000000 
-0.000020 0.003936 0.000031 
0.002989 0.026843 0.000321 
0.006000 0.087606 0.000889 
0.009012 0.182574 0.001855 
0.012026 0.320735 0.002404 
0.015042 0.411317 0.002313 
0.018059 0.494300 0.002309 
0.021079 0.553303 0.002226 
0.024101 0.600719 0.002035 
0.027124 0.646083 0.001923 
0.030150 0.673241 0.001920 
0.033179 0.700530 0.001806 
0.036210 0.721445 0.001633 
0.039243 0.744977 0.001749 
0.042280 0.758933 0.001733 
0.045319 0.772274 0.001537 
0.048362 0.787153 0.001804 
0.051408 0.794369 0.001854 
0.054457 0.800235 0.001763 
0.057510 0.804321 0.001536 
0.060567 0.816699 0.001739 
0.063629 0.826942 0.001680 
0.066695 0.830424 0.001361 
0.069766 0.839854 0.001323 
0.072842 0.844699 0.001241 
0.075924 0.845256 0.001326 
0.079012 0.849437 0.001216 
0.082106 0.855866 0.001132 
0.085207 0.855661 0.001044 
0.088316 0.855782 0.000905 
0.091433 0.859627 0.000971 
0.094559 0.861783 0.000848 
0.097695 0.863861 0.000541 
0.100841 0.867546 0.000548 
0.103998 0.866702 0.000677 
0.107168 0.866702 0.000636 
