"X"	"Y"
0.004296	0.041927
0.009450	0.041927
0.017468	0.041927
0.022910	0.041667
0.027778	0.041667
0.032932	0.041146
0.036369	0.039323
0.039233	0.036979
0.041810	0.034375
0.045533	0.030469
0.048683	0.027083
0.050974	0.024219
0.053551	0.022656
0.057274	0.020573
0.060710	0.019010
0.063860	0.017708
0.065578	0.016146
0.068442	0.014583
0.073024	0.011719
0.078465	0.010417
0.083906	0.008854
0.088774	0.007292
0.093070	0.006510
0.097365	0.005469
0.103093	0.004427
0.108247	0.003906
0.112257	0.003385
0.115693	0.002083
0.116266	0.001302
