X	Y
0.001658	0.039896
0.007442	0.036528
0.012323	0.035233
0.017157	0.036010
0.022847	0.036788
0.028858	0.036010
0.033145	0.035751
0.038573	0.035492
0.043443	0.034715
0.048883	0.033938
0.056065	0.031865
0.059251	0.029793
0.062147	0.027979
0.065339	0.025648
0.069655	0.024093
0.075696	0.022021
0.081136	0.021244
0.085161	0.019948
0.088865	0.020207
0.091166	0.019430
0.094032	0.018912
0.098074	0.016839
0.102688	0.014767
0.108467	0.011658
0.113110	0.008290
0.119138	0.006736
0.124602	0.004922
0.130334	0.003886
0.135215	0.002591
0.137248	0.001036
