X	Y
0.001400	0.026166
0.005134	0.025130
0.009433	0.024352
0.015152	0.023834
0.022293	0.023575
0.026574	0.023575
0.031996	0.023575
0.037436	0.022798
0.043447	0.022021
0.048887	0.021244
0.054327	0.020466
0.058911	0.019689
0.064351	0.018912
0.068923	0.018653
0.075802	0.017358
0.082093	0.016839
0.087242	0.016321
0.093247	0.015803
0.097819	0.015544
0.102979	0.014508
0.110988	0.013731
0.116707	0.013212
0.122998	0.012694
0.129300	0.011658
0.133307	0.011140
0.137606	0.010363
0.142761	0.009585
0.148766	0.009067
0.155644	0.007772
0.165365	0.006995
0.171953	0.005959
0.177679	0.005181
0.182827	0.004663
0.187132	0.003627
0.192013	0.002332
0.198012	0.002073
0.204029	0.001036
