#j        y/delta             y+            -uv   d(u_mean)/dy
  1   0.000000E+00   0.000000E+00   0.231795E-31   0.100000E+01
  2   0.334661E-04   0.215033E-01   0.977521E-08   0.999967E+00
  3   0.133862E-03   0.860117E-01   0.629607E-06   0.999866E+00
  4   0.301181E-03   0.193521E+00   0.724569E-05   0.999692E+00
  5   0.535413E-03   0.344024E+00   0.412693E-04   0.999424E+00
  6   0.836540E-03   0.537510E+00   0.159978E-03   0.999004E+00
  7   0.120454E-02   0.773968E+00   0.485974E-03   0.998310E+00
  8   0.163940E-02   0.105338E+01   0.124594E-02   0.997115E+00
  9   0.214108E-02   0.137573E+01   0.281498E-02   0.995044E+00
 10   0.270954E-02   0.174099E+01   0.575684E-02   0.991534E+00
 11   0.334476E-02   0.214914E+01   0.108438E-01   0.985812E+00
 12   0.404669E-02   0.260016E+01   0.190359E-01   0.976918E+00
 13   0.481527E-02   0.309401E+01   0.314029E-01   0.963783E+00
 14   0.565047E-02   0.363065E+01   0.489895E-01   0.945361E+00
 15   0.655222E-02   0.421006E+01   0.726426E-01   0.920807E+00
 16   0.752047E-02   0.483220E+01   0.102842E+00   0.889640E+00
 17   0.855514E-02   0.549702E+01   0.139578E+00   0.851869E+00
 18   0.965617E-02   0.620448E+01   0.182309E+00   0.808036E+00
 19   0.108235E-01   0.695452E+01   0.230013E+00   0.759164E+00
 20   0.120570E-01   0.774711E+01   0.281310E+00   0.706633E+00
 21   0.133567E-01   0.858219E+01   0.334633E+00   0.652010E+00
 22   0.147224E-01   0.945970E+01   0.388407E+00   0.596870E+00
 23   0.161540E-01   0.103796E+02   0.441199E+00   0.542647E+00
 24   0.176515E-01   0.113418E+02   0.491824E+00   0.490525E+00
 25   0.192147E-01   0.123462E+02   0.539395E+00   0.441393E+00
 26   0.208436E-01   0.133928E+02   0.583326E+00   0.395834E+00
 27   0.225380E-01   0.144816E+02   0.623306E+00   0.354163E+00
 28   0.242979E-01   0.156124E+02   0.659245E+00   0.316467E+00
 29   0.261230E-01   0.167851E+02   0.691222E+00   0.282668E+00
 30   0.280134E-01   0.179997E+02   0.719434E+00   0.252570E+00
 31   0.299687E-01   0.192561E+02   0.744146E+00   0.225905E+00
 32   0.319891E-01   0.205543E+02   0.765665E+00   0.202369E+00
 33   0.340742E-01   0.218940E+02   0.784306E+00   0.181647E+00
 34   0.362239E-01   0.232753E+02   0.800376E+00   0.163430E+00
 35   0.384382E-01   0.246981E+02   0.814165E+00   0.147431E+00
 36   0.407168E-01   0.261622E+02   0.825937E+00   0.133384E+00
 37   0.430597E-01   0.276676E+02   0.835930E+00   0.121052E+00
 38   0.454665E-01   0.292141E+02   0.844359E+00   0.110221E+00
 39   0.479373E-01   0.308016E+02   0.851412E+00   0.100702E+00
 40   0.504718E-01   0.324302E+02   0.857258E+00   0.923273E-01
 41   0.530699E-01   0.340995E+02   0.862043E+00   0.849506E-01
 42   0.557313E-01   0.358096E+02   0.865893E+00   0.784461E-01
 43   0.584559E-01   0.375603E+02   0.868916E+00   0.727052E-01
 44   0.612436E-01   0.393515E+02   0.871209E+00   0.676331E-01
 45   0.640941E-01   0.411830E+02   0.872853E+00   0.631470E-01
 46   0.670072E-01   0.430548E+02   0.873921E+00   0.591743E-01
 47   0.699828E-01   0.449667E+02   0.874480E+00   0.556499E-01
 48   0.730206E-01   0.469187E+02   0.874587E+00   0.525158E-01
 49   0.761205E-01   0.489104E+02   0.874293E+00   0.497208E-01
 50   0.792822E-01   0.509420E+02   0.873645E+00   0.472190E-01
 51   0.825055E-01   0.530131E+02   0.872684E+00   0.449683E-01
 52   0.857902E-01   0.551237E+02   0.871447E+00   0.429330E-01
 53   0.891362E-01   0.572736E+02   0.869961E+00   0.410854E-01
 54   0.925431E-01   0.594626E+02   0.868250E+00   0.394023E-01
 55   0.960107E-01   0.616907E+02   0.866336E+00   0.378628E-01
 56   0.995388E-01   0.639577E+02   0.864236E+00   0.364483E-01
 57   0.103127E+00   0.662634E+02   0.861966E+00   0.351440E-01
 58   0.106776E+00   0.686077E+02   0.859538E+00   0.339380E-01
 59   0.110484E+00   0.709903E+02   0.856963E+00   0.328202E-01
 60   0.114252E+00   0.734113E+02   0.854250E+00   0.317799E-01
 61   0.118079E+00   0.758703E+02   0.851411E+00   0.308069E-01
 62   0.121965E+00   0.783673E+02   0.848453E+00   0.298945E-01
 63   0.125910E+00   0.809020E+02   0.845378E+00   0.290394E-01
 64   0.129913E+00   0.834743E+02   0.842191E+00   0.282386E-01
 65   0.133975E+00   0.860840E+02   0.838895E+00   0.274877E-01
 66   0.138094E+00   0.887310E+02   0.835495E+00   0.267818E-01
 67   0.142271E+00   0.914151E+02   0.831998E+00   0.261162E-01
 68   0.146506E+00   0.941360E+02   0.828407E+00   0.254863E-01
 69   0.150798E+00   0.968936E+02   0.824726E+00   0.248886E-01
 70   0.155146E+00   0.996878E+02   0.820959E+00   0.243212E-01
 71   0.159552E+00   0.102518E+03   0.817107E+00   0.237826E-01
 72   0.164013E+00   0.105385E+03   0.813174E+00   0.232705E-01
 73   0.168530E+00   0.108288E+03   0.809161E+00   0.227817E-01
 74   0.173103E+00   0.111226E+03   0.805074E+00   0.223136E-01
 75   0.177732E+00   0.114200E+03   0.800913E+00   0.218642E-01
 76   0.182415E+00   0.117209E+03   0.796680E+00   0.214318E-01
 77   0.187153E+00   0.120253E+03   0.792379E+00   0.210139E-01
 78   0.191946E+00   0.123333E+03   0.788013E+00   0.206080E-01
 79   0.196792E+00   0.126447E+03   0.783582E+00   0.202127E-01
 80   0.201693E+00   0.129596E+03   0.779088E+00   0.198287E-01
 81   0.206647E+00   0.132779E+03   0.774527E+00   0.194578E-01
 82   0.211654E+00   0.135996E+03   0.769901E+00   0.190997E-01
 83   0.216713E+00   0.139247E+03   0.765211E+00   0.187548E-01
 84   0.221825E+00   0.142532E+03   0.760455E+00   0.184250E-01
 85   0.226990E+00   0.145850E+03   0.755631E+00   0.181111E-01
 86   0.232205E+00   0.149201E+03   0.750745E+00   0.178104E-01
 87   0.237473E+00   0.152586E+03   0.745798E+00   0.175191E-01
 88   0.242791E+00   0.156003E+03   0.740793E+00   0.172358E-01
 89   0.248160E+00   0.159453E+03   0.735732E+00   0.169596E-01
 90   0.253580E+00   0.162935E+03   0.730616E+00   0.166895E-01
 91   0.259049E+00   0.166449E+03   0.725445E+00   0.164251E-01
 92   0.264568E+00   0.169995E+03   0.720220E+00   0.161674E-01
 93   0.270136E+00   0.173573E+03   0.714940E+00   0.159173E-01
 94   0.275753E+00   0.177182E+03   0.709604E+00   0.156750E-01
 95   0.281418E+00   0.180823E+03   0.704213E+00   0.154409E-01
 96   0.287132E+00   0.184494E+03   0.698766E+00   0.152163E-01
 97   0.292893E+00   0.188196E+03   0.693263E+00   0.150018E-01
 98   0.298702E+00   0.191928E+03   0.687706E+00   0.147959E-01
 99   0.304557E+00   0.195690E+03   0.682098E+00   0.145951E-01
100   0.310459E+00   0.199483E+03   0.676443E+00   0.143959E-01
101   0.316408E+00   0.203305E+03   0.670743E+00   0.141979E-01
102   0.322402E+00   0.207156E+03   0.664994E+00   0.140030E-01
103   0.328441E+00   0.211036E+03   0.659197E+00   0.138128E-01
104   0.334525E+00   0.214946E+03   0.653349E+00   0.136279E-01
105   0.340654E+00   0.218884E+03   0.647453E+00   0.134479E-01
106   0.346827E+00   0.222850E+03   0.641508E+00   0.132721E-01
107   0.353044E+00   0.226845E+03   0.635514E+00   0.131013E-01
108   0.359304E+00   0.230867E+03   0.629470E+00   0.129368E-01
109   0.365607E+00   0.234917E+03   0.623377E+00   0.127776E-01
110   0.371952E+00   0.238994E+03   0.617237E+00   0.126222E-01
111   0.378339E+00   0.243098E+03   0.611049E+00   0.124704E-01
112   0.384768E+00   0.247229E+03   0.604816E+00   0.123218E-01
113   0.391239E+00   0.251386E+03   0.598539E+00   0.121749E-01
114   0.397749E+00   0.255570E+03   0.592217E+00   0.120302E-01
115   0.404301E+00   0.259779E+03   0.585850E+00   0.118900E-01
116   0.410892E+00   0.264014E+03   0.579437E+00   0.117552E-01
117   0.417522E+00   0.268275E+03   0.572980E+00   0.116246E-01
118   0.424192E+00   0.272560E+03   0.566481E+00   0.114957E-01
119   0.430900E+00   0.276870E+03   0.559945E+00   0.113655E-01
120   0.437646E+00   0.281205E+03   0.553372E+00   0.112327E-01
121   0.444430E+00   0.285564E+03   0.546765E+00   0.110969E-01
122   0.451251E+00   0.289947E+03   0.540124E+00   0.109573E-01
123   0.458108E+00   0.294353E+03   0.533448E+00   0.108149E-01
124   0.465002E+00   0.298783E+03   0.526735E+00   0.106726E-01
125   0.471932E+00   0.303235E+03   0.519985E+00   0.105317E-01
126   0.478897E+00   0.307711E+03   0.513196E+00   0.103923E-01
127   0.485897E+00   0.312208E+03   0.506367E+00   0.102563E-01
128   0.492932E+00   0.316728E+03   0.499496E+00   0.101258E-01
129   0.500000E+00   0.321270E+03   0.492582E+00   0.100006E-01
130   0.507102E+00   0.325833E+03   0.485629E+00   0.987787E-02
131   0.514237E+00   0.330418E+03   0.478641E+00   0.975503E-02
132   0.521404E+00   0.335023E+03   0.471616E+00   0.963225E-02
133   0.528603E+00   0.339649E+03   0.464555E+00   0.951074E-02
134   0.535834E+00   0.344295E+03   0.457458E+00   0.939047E-02
135   0.543096E+00   0.348961E+03   0.450327E+00   0.927082E-02
136   0.550389E+00   0.353647E+03   0.443163E+00   0.915095E-02
137   0.557711E+00   0.358352E+03   0.435968E+00   0.902915E-02
138   0.565064E+00   0.363076E+03   0.428745E+00   0.890490E-02
139   0.572445E+00   0.367819E+03   0.421490E+00   0.878014E-02
140   0.579855E+00   0.372580E+03   0.414204E+00   0.865671E-02
141   0.587293E+00   0.377359E+03   0.406885E+00   0.853546E-02
142   0.594759E+00   0.382156E+03   0.399532E+00   0.841734E-02
143   0.602252E+00   0.386971E+03   0.392148E+00   0.830189E-02
144   0.609771E+00   0.391802E+03   0.384734E+00   0.818621E-02
145   0.617317E+00   0.396651E+03   0.377294E+00   0.806746E-02
146   0.624888E+00   0.401515E+03   0.369829E+00   0.794485E-02
147   0.632484E+00   0.406396E+03   0.362339E+00   0.781916E-02
148   0.640105E+00   0.411293E+03   0.354824E+00   0.769152E-02
