#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
  1   0.000000E+00   0.000000E+00  -0.521563E-13   0.117551E-33   0.136084E-16   0.420408E-03  -0.195462E-34  -0.100000E+01   0.203350E-09
  2   0.334661E-04   0.215033E-01   0.215029E-01   0.139269E-24   0.904016E-05   0.420408E-03  -0.242716E-23  -0.999967E+00  -0.108664E-09
  3   0.133862E-03   0.860117E-01   0.860060E-01  -0.190585E-23   0.361601E-04   0.420408E-03   0.980487E-23  -0.999866E+00  -0.824196E-08
  4   0.301181E-03   0.193521E+00   0.193492E+00  -0.708025E-24   0.813575E-04   0.420398E-03  -0.457014E-22  -0.999692E+00  -0.200208E-06
  5   0.535413E-03   0.344024E+00   0.343928E+00  -0.652877E-22   0.144626E-03   0.420359E-03   0.129427E-21  -0.999424E+00  -0.191142E-05
  6   0.836540E-03   0.537510E+00   0.537265E+00  -0.187757E-22   0.225950E-03   0.420242E-03  -0.114699E-21  -0.999004E+00  -0.107393E-04
  7   0.120454E-02   0.773968E+00   0.773409E+00  -0.265952E-21   0.325286E-03   0.419925E-03   0.927668E-22  -0.998310E+00  -0.429856E-04
  8   0.163940E-02   0.105338E+01   0.105219E+01  -0.199101E-21   0.442530E-03   0.419226E-03  -0.335948E-21  -0.997115E+00  -0.135696E-03
  9   0.214108E-02   0.137573E+01   0.137330E+01  -0.130668E-20   0.577465E-03   0.417870E-03  -0.210661E-21  -0.995044E+00  -0.359053E-03
 10   0.270954E-02   0.174099E+01   0.173615E+01   0.476867E-21   0.729687E-03   0.415456E-03  -0.145059E-21  -0.991534E+00  -0.828493E-03
 11   0.334476E-02   0.214914E+01   0.213975E+01   0.101851E-20   0.898504E-03   0.411556E-03  -0.351297E-21  -0.985812E+00  -0.171330E-02
 12   0.404669E-02   0.260016E+01   0.258247E+01  -0.846264E-21   0.108287E-02   0.405762E-03  -0.831229E-21  -0.976918E+00  -0.323887E-02
