# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.20102        	(-9.9544086e-05 1.1122654e-02 -6.3452172e-20)	(-9.9544086e-05 1.1122654e-02 -6.3452172e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20203        	(6.8742951e-05 1.0988378e-02 3.7773192e-19)	(6.8742951e-05 1.0988378e-02 3.7773192e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20305        	(-2.1479102e-04 1.1195346e-02 1.8941231e-19)	(-2.1479102e-04 1.1195346e-02 1.8941231e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20407        	(1.5162226e-04 1.0922497e-02 3.1986995e-19)	(1.5162226e-04 1.0922497e-02 3.1986995e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20509        	(-2.7184287e-04 1.1171691e-02 -7.6966892e-20)	(-2.7184287e-04 1.1171691e-02 -7.6966892e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20611        	(2.0135435e-04 1.0914241e-02 -2.1731720e-19)	(2.0135435e-04 1.0914241e-02 -2.1731720e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20713        	(-3.0034091e-04 1.1187085e-02 -4.3100966e-19)	(-3.0034091e-04 1.1187085e-02 -4.3100966e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20815        	(2.2277653e-04 1.0883013e-02 -2.2136156e-19)	(2.2277653e-04 1.0883013e-02 -2.2136156e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20917        	(-3.0204362e-04 1.1158781e-02 1.5135075e-19)	(-3.0204362e-04 1.1158781e-02 1.5135075e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21019        	(2.2948241e-04 1.0951943e-02 -9.1242869e-20)	(2.2948241e-04 1.0951943e-02 -9.1242869e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21121        	(-2.9631772e-04 1.1138078e-02 -1.3854913e-19)	(-2.9631772e-04 1.1138078e-02 -1.3854913e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21224        	(2.1618752e-04 1.0926714e-02 4.1867510e-19)	(2.1618752e-04 1.0926714e-02 4.1867510e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21326        	(-2.8463689e-04 1.1116825e-02 -5.6767792e-20)	(-2.8463689e-04 1.1116825e-02 -5.6767792e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21428        	(2.0068818e-04 1.0912082e-02 -1.7291359e-19)	(2.0068818e-04 1.0912082e-02 -1.7291359e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2153         	(-2.6399647e-04 1.1105854e-02 -7.6821010e-20)	(-2.6399647e-04 1.1105854e-02 -7.6821010e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21632        	(1.8496157e-04 1.0902167e-02 2.4401212e-19)	(1.8496157e-04 1.0902167e-02 2.4401212e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21734        	(-2.4327431e-04 1.1091530e-02 -1.2945173e-19)	(-2.4327431e-04 1.1091530e-02 -1.2945173e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21836        	(1.6430129e-04 1.0894414e-02 -9.7053369e-20)	(1.6430129e-04 1.0894414e-02 -9.7053369e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21938        	(-2.2145970e-04 1.1075857e-02 -3.3161813e-19)	(-2.2145970e-04 1.1075857e-02 -3.3161813e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2204         	(1.4561069e-04 1.0887830e-02 1.6533902e-19)	(1.4561069e-04 1.0887830e-02 1.6533902e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22142        	(-1.9280977e-04 1.1053235e-02 5.2561179e-19)	(-1.9280977e-04 1.1053235e-02 5.2561179e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22245        	(1.2992462e-04 1.0877787e-02 -1.3148285e-19)	(1.2992462e-04 1.0877787e-02 -1.3148285e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22347        	(-1.7187716e-04 1.0992808e-02 1.4854548e-19)	(-1.7187716e-04 1.0992808e-02 1.4854548e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2245         	(1.1709525e-04 1.0888432e-02 3.4765951e-20)	(1.1709525e-04 1.0888432e-02 3.4765951e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22552        	(-1.5148389e-04 1.1005961e-02 1.2477780e-19)	(-1.5148389e-04 1.1005961e-02 1.2477780e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22654        	(1.0262193e-04 1.0928549e-02 1.7460727e-19)	(1.0262193e-04 1.0928549e-02 1.7460727e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22756        	(-1.3386254e-04 1.0976660e-02 4.1626244e-19)	(-1.3386254e-04 1.0976660e-02 4.1626244e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22858        	(7.9741198e-05 1.0892625e-02 2.6239922e-19)	(7.9741198e-05 1.0892625e-02 2.6239922e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22959        	(-1.2502133e-04 1.0939034e-02 1.0062344e-19)	(-1.2502133e-04 1.0939034e-02 1.0062344e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23061        	(6.8736228e-05 1.0903373e-02 7.3726003e-20)	(6.8736228e-05 1.0903373e-02 7.3726003e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23162        	(-1.1417903e-04 1.0911560e-02 4.7794382e-19)	(-1.1417903e-04 1.0911560e-02 4.7794382e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23264        	(4.9044241e-05 1.0859294e-02 2.6221881e-19)	(4.9044241e-05 1.0859294e-02 2.6221881e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23366        	(-1.0311648e-04 1.0886892e-02 -2.9685439e-19)	(-1.0311648e-04 1.0886892e-02 -2.9685439e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23468        	(4.4068355e-05 1.0819347e-02 -2.5880578e-20)	(4.4068355e-05 1.0819347e-02 -2.5880578e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2357         	(-8.9258613e-05 1.0870810e-02 2.6292257e-19)	(-8.9258613e-05 1.0870810e-02 2.6292257e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23673        	(3.4347757e-05 1.0817492e-02 -4.4483520e-20)	(3.4347757e-05 1.0817492e-02 -4.4483520e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23775        	(-8.0960887e-05 1.0824622e-02 -2.1366095e-19)	(-8.0960887e-05 1.0824622e-02 -2.1366095e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23877        	(2.7069546e-05 1.0807528e-02 3.4132940e-21)	(2.7069546e-05 1.0807528e-02 3.4132940e-21)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23979        	(-6.9207245e-05 1.0859546e-02 -9.2817531e-20)	(-6.9207245e-05 1.0859546e-02 -9.2817531e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24081        	(2.1445643e-05 1.0789324e-02 -1.4977223e-20)	(2.1445643e-05 1.0789324e-02 -1.4977223e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24182        	(-6.2941360e-05 1.0860281e-02 -1.3026487e-19)	(-6.2941360e-05 1.0860281e-02 -1.3026487e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24284        	(1.6522296e-05 1.0769583e-02 5.4282760e-19)	(1.6522296e-05 1.0769583e-02 5.4282760e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24384        	(-5.0118489e-05 1.0802566e-02 -1.5512332e-19)	(-5.0118489e-05 1.0802566e-02 -1.5512332e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
