# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.20102        	(4.0041556e-06 3.5835871e-08 1.1026136e-05)	(4.0041556e-06 3.5835871e-08 1.1026136e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20203        	(3.9558159e-06 -2.4747462e-08 9.6338460e-06)	(3.9558159e-06 -2.4747462e-08 9.6338460e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20305        	(4.0303247e-06 7.7324767e-08 1.1968881e-05)	(4.0303247e-06 7.7324767e-08 1.1968881e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20407        	(3.9320989e-06 -5.4584015e-08 8.9557273e-06)	(3.9320989e-06 -5.4584015e-08 8.9557273e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20509        	(4.0218088e-06 9.7863432e-08 1.2381166e-05)	(4.0218088e-06 9.7863432e-08 1.2381166e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20611        	(3.9291268e-06 -7.2487564e-08 8.5822574e-06)	(3.9291268e-06 -7.2487564e-08 8.5822574e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20713        	(4.0273505e-06 1.0812273e-07 1.2613290e-05)	(4.0273505e-06 1.0812273e-07 1.2613290e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20815        	(3.9178848e-06 -8.0199550e-08 8.4012901e-06)	(3.9178848e-06 -8.0199550e-08 8.4012901e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.20917        	(4.0171613e-06 1.0873570e-07 1.2602966e-05)	(4.0171613e-06 1.0873570e-07 1.2602966e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21019        	(3.9426994e-06 -8.2613666e-08 8.4237483e-06)	(3.9426994e-06 -8.2613666e-08 8.4237483e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21121        	(4.0097081e-06 1.0667438e-07 1.2543819e-05)	(4.0097081e-06 1.0667438e-07 1.2543819e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21224        	(3.9336171e-06 -7.7827508e-08 8.5087866e-06)	(3.9336171e-06 -7.7827508e-08 8.5087866e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21326        	(4.0020569e-06 1.0246928e-07 1.2439600e-05)	(4.0020569e-06 1.0246928e-07 1.2439600e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21428        	(3.9283496e-06 -7.2247745e-08 8.6195833e-06)	(3.9283496e-06 -7.2247745e-08 8.6195833e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2153         	(3.9981073e-06 9.5038731e-08 1.2278078e-05)	(3.9981073e-06 9.5038731e-08 1.2278078e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21632        	(3.9247802e-06 -6.6586165e-08 8.7358706e-06)	(3.9247802e-06 -6.6586165e-08 8.7358706e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21734        	(3.9929509e-06 8.7578751e-08 1.2113175e-05)	(3.9929509e-06 8.7578751e-08 1.2113175e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21836        	(3.9219890e-06 -5.9148465e-08 8.8904157e-06)	(3.9219890e-06 -5.9148465e-08 8.8904157e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.21938        	(3.9873084e-06 7.9725493e-08 1.1939193e-05)	(3.9873084e-06 7.9725493e-08 1.1939193e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
